name,role,layer,src_type,n_elem,n_measured,sampled,rms_w,absmax_rel_mse,absmax_rms_err,absmax_max_abs_err,absmax_cos,absmax_sqnr_db
blk.19.attn_v.weight,attn_v,19,Q4_0,22020096,8000000,True,0.015897529119599203,0.157322464272437,0.006320454608659278,0.12116940319538116,0.9273448098916675,8.032092594937975
blk.19.ffn_down.weight,ffn_down,19,Q4_0,115605504,8000000,True,0.012725128289908318,0.1600648003407174,0.005100072467389185,0.05001142993569374,0.926155222592059,7.957041627624182
blk.19.ffn_gate.weight,ffn_gate,19,Q4_0,115605504,8000000,True,0.01760846289702294,0.15410179710559405,0.006904647038110885,0.05192974582314491,0.9283430349188143,8.121922965931185
blk.19.ffn_up.weight,ffn_up,19,Q4_0,115605504,8000000,True,0.017604012065815775,0.15412414494150362,0.006907149935572978,0.0436553955078125,0.9283435106516285,8.121293197925901
blk.20.attn_k.weight,attn_k,20,Q4_0,22020096,8000000,True,0.015475989530758526,0.15295047877995332,0.006221053838867486,0.0562572255730629,0.9290746107514858,8.154491592078
blk.20.attn_output.weight,attn_o,20,Q4_0,44040192,8000000,True,0.013065314011523567,0.14844476093509507,0.0050158586276463114,0.05867519974708557,0.9308311138983449,8.28435125364192
blk.20.attn_q.weight,attn_q,20,Q4_0,44040192,8000000,True,0.015037037143177782,0.1539243483488235,0.006132398168971299,0.04760226607322693,0.9286446630196143,8.12692676353399
blk.20.attn_v.weight,attn_v,20,Q4_0,22020096,8000000,True,0.015927916641979477,0.15403093440649696,0.00653446733202706,0.08176131546497345,0.9286138365627996,8.123920499888852
blk.20.ffn_down.weight,ffn_down,20,Q4_0,115605504,8000000,True,0.01306873333366453,0.15974202416174244,0.005222870034210447,0.0562572255730629,0.926278158900978,7.965808167314829
blk.20.ffn_gate.weight,ffn_gate,20,Q4_0,115605504,8000000,True,0.016985125803732293,0.1556703755396728,0.00669463557344968,0.06923966109752655,0.9277405846899134,8.077940268908584
blk.20.ffn_up.weight,ffn_up,20,Q4_0,115605504,8000000,True,0.016915127562796447,0.15531588516857095,0.00668417162072585,0.06058470159769058,0.9279000864805461,8.087841238706192
blk.21.attn_k.weight,attn_k,21,Q4_0,22020096,8000000,True,0.016409995021250002,0.15646631865880084,0.0064742224031540535,0.06058470159769058,0.9274566119784319,8.055791354012548
blk.21.attn_output.weight,attn_o,21,Q4_0,44040192,8000000,True,0.015334120547269476,0.15123283399383275,0.005947571857239993,0.06923966109752655,0.9296686454469492,8.203539094017241
blk.21.attn_q.weight,attn_q,21,Q4_0,44040192,8000000,True,0.016206637096588854,0.15233058881495762,0.006300023028252679,0.0731201171875,0.9291432720778817,8.172128792007317
blk.21.attn_v.weight,attn_v,21,Q4_0,22020096,8000000,True,0.01727433029820449,0.15767133406231257,0.00690469701885214,0.08964688330888748,0.927178548992597,8.022472577820315
blk.21.ffn_down.weight,ffn_down,21,Q4_0,115605504,8000000,True,0.012689936494040524,0.15655103260815395,0.004999452548957407,0.04955366626381874,0.9274432513329237,8.053440634380323
blk.21.ffn_gate.weight,ffn_gate,21,Q4_0,115605504,8000000,True,0.01690620443262838,0.15380122080173983,0.006609312188493617,0.0562572255730629,0.928526463980104,8.130402172956092
